1	2	51
2	3	75
3	4	35
4	5	35
5	6	17
6	7	98
7	8	42
8	9	306
9	10	74
10	11	45
11	12	27
12	13	18
13	14	9.5
14	15	20
15	16	25
16	17	13
17	19	50
1	20	85
20	21	57
21	22	15
22	23	47
23	24	23
24	25	24
25	26	53
26	27	42
27	28	58
28	29	166
29	30	170
30	31	18
31	19	72
3	32	17
3	5	34
32	21	49
21	33	28
50	21	20
21	22	15
6	4	100
6	33	55
6	5	18
6	51	42
51	28	123
28	45	326
45	30	25
30	52	65
52	10	40
52	53	32
53	15	23
53	12	40
53	17	42
17	19	48
50	32	30
